Iteration,Turn,Duration
Iteration 1,Turn 0,220.69139639999776
Iteration 1,Turn 1,243.02426440000272
Iteration 1,Turn 2,183.4412274999995
Iteration 1,Turn 3,208.00616399999853
Iteration 1,Turn 4,236.38672249999945
Iteration 2,Turn 0,200.28307779999886
Iteration 2,Turn 1,239.74783169999864
Iteration 2,Turn 2,186.21986870000546
Iteration 2,Turn 3,254.78354869999748
Iteration 2,Turn 4,219.0595054000005
Iteration 3,Turn 0,214.6337566000002
Iteration 3,Turn 1,280.0491626000003
Iteration 3,Turn 2,176.02786029999697
Iteration 3,Turn 3,279.5403903999977
Iteration 3,Turn 4,242.99175619999733
Iteration 4,Turn 0,233.64827829999558
Iteration 4,Turn 1,203.3360834999985
Iteration 4,Turn 2,179.90933770000265
Iteration 4,Turn 3,237.73096839999926
Iteration 4,Turn 4,236.0441712000029
Iteration 5,Turn 0,208.50860269999976
Iteration 5,Turn 1,221.18022300000302
Iteration 5,Turn 2,181.42664610000065
Iteration 5,Turn 3,223.36229230000026
Iteration 5,Turn 4,230.35473690000072
Iteration 6,Turn 0,248.74892980000004
Iteration 6,Turn 1,240.68201689999842
Iteration 6,Turn 2,192.56873050000286
Iteration 6,Turn 3,236.32738339999923
Iteration 6,Turn 4,216.5190916000065
Iteration 7,Turn 0,257.2803433000008
Iteration 7,Turn 1,220.38951309999538
Iteration 7,Turn 2,216.51582339999732
Iteration 7,Turn 3,259.7878525000051
Iteration 7,Turn 4,241.33658580000338
Iteration 8,Turn 0,175.05677470000228
Iteration 8,Turn 1,280.47520209999493
Iteration 8,Turn 2,193.52786750000087
Iteration 8,Turn 3,253.91996420000214
Iteration 8,Turn 4,228.37964759999886
Iteration 9,Turn 0,193.39148459999706
Iteration 9,Turn 1,190.7817181999999
Iteration 9,Turn 2,223.07514629999787
Iteration 9,Turn 3,222.73606999999902
Iteration 9,Turn 4,223.70223300000362
Iteration 10,Turn 0,212.96402880000096
Iteration 10,Turn 1,218.34241009999823
Iteration 10,Turn 2,184.11513069999637
Iteration 10,Turn 3,249.16693249999662
Iteration 10,Turn 4,231.81322490000457
Iteration 11,Turn 0,242.39410209999915
Iteration 11,Turn 1,210.96331030000147
Iteration 11,Turn 2,168.84382400000322
Iteration 11,Turn 3,276.2188865999997
Iteration 11,Turn 4,317.6633751000045
Iteration 12,Turn 0,229.49854429999687
Iteration 12,Turn 1,226.79060929999832
Iteration 12,Turn 2,189.82787480000115
Iteration 12,Turn 3,223.9155860000028
Iteration 12,Turn 4,223.18400079999992
Iteration 13,Turn 0,215.37302759999875
Iteration 13,Turn 1,252.4029894999985
Iteration 13,Turn 2,232.3756863000017
Iteration 13,Turn 3,227.64862970000104
Iteration 13,Turn 4,258.476923299997
Iteration 14,Turn 0,229.12762010000006
Iteration 14,Turn 1,252.14784049999435
Iteration 14,Turn 2,212.25022800000443
Iteration 14,Turn 3,284.1678594000041
Iteration 14,Turn 4,226.78681420000066
Iteration 15,Turn 0,190.27312620000157
Iteration 15,Turn 1,245.86014549999527
Iteration 15,Turn 2,179.25827820000268
Iteration 15,Turn 3,237.58156260000396
Iteration 15,Turn 4,250.13651319999917
Iteration 16,Turn 0,194.27512790000037
Iteration 16,Turn 1,237.83022899999924
Iteration 16,Turn 2,220.2606947999957
Iteration 16,Turn 3,234.86650550000195
Iteration 16,Turn 4,224.74651659999654
Iteration 17,Turn 0,239.95346839999547
Iteration 17,Turn 1,215.83826019999833
Iteration 17,Turn 2,192.80976669999654
Iteration 17,Turn 3,232.0785606000063
Iteration 17,Turn 4,242.0285214999967
Iteration 18,Turn 0,188.00364979999722
Iteration 18,Turn 1,213.44842049999716
Iteration 18,Turn 2,206.65116209999542
Iteration 18,Turn 3,268.9133323999995
Iteration 18,Turn 4,228.02080560000468
Iteration 19,Turn 0,226.39601530000073
Iteration 19,Turn 1,288.35684720000427
Iteration 19,Turn 2,202.61697309999727
Iteration 19,Turn 3,209.93459900000016
Iteration 19,Turn 4,289.531101499997
Iteration 20,Turn 0,220.37779659999796
Iteration 20,Turn 1,265.48099419999926
Iteration 20,Turn 2,226.0649032999936
Iteration 20,Turn 3,225.67755530000431
Iteration 20,Turn 4,220.66179489999922
Iteration 21,Turn 0,212.11243339999783
Iteration 21,Turn 1,267.6078318
Iteration 21,Turn 2,204.3760484000013
Iteration 21,Turn 3,218.14677730000403
Iteration 21,Turn 4,232.3902304000003
Iteration 22,Turn 0,197.8041888000007
Iteration 22,Turn 1,229.68381509999745
Iteration 22,Turn 2,186.59504270000616
Iteration 22,Turn 3,229.34742089999781
Iteration 22,Turn 4,218.73430410000583
Iteration 23,Turn 0,217.4475980999996
Iteration 23,Turn 1,223.5008949999974
Iteration 23,Turn 2,208.63806200000545
Iteration 23,Turn 3,245.03336719999788
Iteration 23,Turn 4,233.1771829999998
Iteration 24,Turn 0,230.3379827999961
Iteration 24,Turn 1,202.81554160000087
Iteration 24,Turn 2,214.6337052999952
Iteration 24,Turn 3,257.5897380999959
Iteration 24,Turn 4,211.56297420000192
Iteration 25,Turn 0,225.54473189999408
Iteration 25,Turn 1,221.43669709999813
Iteration 25,Turn 2,203.263145600009
Iteration 25,Turn 3,241.59811679999984
Iteration 25,Turn 4,273.22018829999433
