Iteration,Turn,Duration
Iteration 1,Turn 0,137.59425120000378
Iteration 1,Turn 1,158.27370560000418
Iteration 1,Turn 2,182.68052030001127
Iteration 1,Turn 3,154.0167597999971
Iteration 1,Turn 4,201.66331000000355
Iteration 2,Turn 0,152.46213519999583
Iteration 2,Turn 1,166.53868690000672
Iteration 2,Turn 2,174.02401229999668
Iteration 2,Turn 3,145.0625149999978
Iteration 2,Turn 4,149.98788909999712
Iteration 3,Turn 0,132.31832209999266
Iteration 3,Turn 1,214.5707914999948
Iteration 3,Turn 2,129.4296461000049
Iteration 3,Turn 3,234.6906650999881
Iteration 3,Turn 4,148.67665760000818
Iteration 4,Turn 0,143.75549219999812
Iteration 4,Turn 1,177.8167448000022
Iteration 4,Turn 2,166.96397499999148
Iteration 4,Turn 3,95.31456250000338
Iteration 4,Turn 4,140.37540210000589
Iteration 5,Turn 0,120.63447439999436
Iteration 5,Turn 1,150.0192578999995
Iteration 5,Turn 2,193.05291189999843
Iteration 5,Turn 3,145.03810910000175
Iteration 5,Turn 4,172.53523550000682
Iteration 6,Turn 0,135.26807290001307
Iteration 6,Turn 1,134.11367239999527
Iteration 6,Turn 2,139.08049110000138
Iteration 6,Turn 3,120.94022170000244
Iteration 6,Turn 4,174.21866659999068
Iteration 7,Turn 0,130.73535560000164
Iteration 7,Turn 1,125.7477091000037
Iteration 7,Turn 2,85.90285999998741
Iteration 7,Turn 3,145.37783880000643
Iteration 7,Turn 4,190.6745130000054
Iteration 8,Turn 0,189.11507960000017
Iteration 8,Turn 1,161.05163109999557
Iteration 8,Turn 2,195.28858129998844
Iteration 8,Turn 3,156.71414850000292
Iteration 8,Turn 4,124.30208759999368
Iteration 9,Turn 0,133.28734100000293
Iteration 9,Turn 1,176.86302260000957
Iteration 9,Turn 2,201.79157909999776
Iteration 9,Turn 3,189.06991849999758
Iteration 9,Turn 4,150.91677789999812
Iteration 10,Turn 0,218.9594986000011
Iteration 10,Turn 1,199.92924219999986
Iteration 10,Turn 2,140.2436907000083
Iteration 10,Turn 3,159.94161370000802
Iteration 10,Turn 4,145.48276020000048
Iteration 11,Turn 0,144.22771559999092
Iteration 11,Turn 1,190.70136549999006
Iteration 11,Turn 2,138.99577190000855
Iteration 11,Turn 3,132.0710686000093
Iteration 11,Turn 4,176.68365449999692
Iteration 12,Turn 0,156.7153607999935
Iteration 12,Turn 1,160.85146639999584
Iteration 12,Turn 2,135.63775399999577
Iteration 12,Turn 3,175.96152140000777
Iteration 12,Turn 4,156.88247930000944
Iteration 13,Turn 0,136.71573640000133
Iteration 13,Turn 1,127.63764030000311
Iteration 13,Turn 2,138.56823109999823
Iteration 13,Turn 3,151.70493059999717
Iteration 13,Turn 4,190.2538457999908
Iteration 14,Turn 0,185.96738889999688
Iteration 14,Turn 1,193.82427800000005
Iteration 14,Turn 2,184.82930189999752
Iteration 14,Turn 3,132.29831870000635
Iteration 14,Turn 4,156.42618879998918
Iteration 15,Turn 0,183.32370200000878
Iteration 15,Turn 1,150.29036800000176
Iteration 15,Turn 2,125.9646550000034
Iteration 15,Turn 3,156.65701779999654
Iteration 15,Turn 4,124.59182859999419
Iteration 16,Turn 0,141.5436839999893
Iteration 16,Turn 1,232.38949180000054
Iteration 16,Turn 2,164.94724019999558
Iteration 16,Turn 3,139.17364619999717
Iteration 16,Turn 4,237.15881769999396
Iteration 17,Turn 0,204.75834329999634
Iteration 17,Turn 1,137.52703210001346
Iteration 17,Turn 2,237.0604425000056
Iteration 17,Turn 3,163.2703923999943
Iteration 17,Turn 4,195.2212736000074
Iteration 18,Turn 0,176.00962759999675
Iteration 18,Turn 1,129.62345549999736
Iteration 18,Turn 2,153.56810030000634
Iteration 18,Turn 3,148.82025019999128
Iteration 18,Turn 4,164.72923179999634
Iteration 19,Turn 0,141.31962979999662
Iteration 19,Turn 1,135.27460440000868
Iteration 19,Turn 2,138.71825009999156
Iteration 19,Turn 3,163.9054552000016
Iteration 19,Turn 4,215.5490651
Iteration 20,Turn 0,124.58229060001031
Iteration 20,Turn 1,184.14244999999937
Iteration 20,Turn 2,190.91202370000246
Iteration 20,Turn 3,131.53762259999348
Iteration 20,Turn 4,159.1594965999975
Iteration 21,Turn 0,150.61858749999374
Iteration 21,Turn 1,144.8453920000029
Iteration 21,Turn 2,126.96340940000664
Iteration 21,Turn 3,203.24762460000056
Iteration 21,Turn 4,157.84131530000013
Iteration 22,Turn 0,127.74395620000723
Iteration 22,Turn 1,181.36527350000688
Iteration 22,Turn 2,151.10520170000382
Iteration 22,Turn 3,172.02260480000405
Iteration 22,Turn 4,157.59419689999777
Iteration 23,Turn 0,186.97000590000243
Iteration 23,Turn 1,173.16839780000737
Iteration 23,Turn 2,161.94405910000205
Iteration 23,Turn 3,133.0443038999947
Iteration 23,Turn 4,202.92527070001233
Iteration 24,Turn 0,128.94291520000843
Iteration 24,Turn 1,172.80967180000152
Iteration 24,Turn 2,139.18889719998697
Iteration 24,Turn 3,141.0534764999902
Iteration 24,Turn 4,175.0448827000073
Iteration 25,Turn 0,127.4095379000064
Iteration 25,Turn 1,179.33657250000397
Iteration 25,Turn 2,163.66105989999778
Iteration 25,Turn 3,124.88105630000064
Iteration 25,Turn 4,217.30844069999876
