Iteration,Turn,Duration
Iteration 1,Turn 0,69.27794150000045
Iteration 1,Turn 1,81.83516450000025
Iteration 1,Turn 2,52.26967060000061
Iteration 1,Turn 3,53.754155300001
Iteration 1,Turn 4,68.01930720000018
Iteration 2,Turn 0,63.58270520000042
Iteration 2,Turn 1,66.91002020000087
Iteration 2,Turn 2,62.15604439999879
Iteration 2,Turn 3,51.86268310000014
Iteration 2,Turn 4,49.15879109999878
Iteration 3,Turn 0,67.10841419999997
Iteration 3,Turn 1,78.24515059999976
Iteration 3,Turn 2,52.69604629999958
Iteration 3,Turn 3,50.45526819999941
Iteration 3,Turn 4,54.16751250000016
Iteration 4,Turn 0,62.08030099999996
Iteration 4,Turn 1,69.10034369999994
Iteration 4,Turn 2,44.88982130000113
Iteration 4,Turn 3,52.25496139999996
Iteration 4,Turn 4,74.91216329999952
Iteration 5,Turn 0,61.10410640000009
Iteration 5,Turn 1,59.43472670000119
Iteration 5,Turn 2,47.12027630000193
Iteration 5,Turn 3,48.655960400003096
Iteration 5,Turn 4,58.61160490000111
Iteration 6,Turn 0,49.02779089999967
Iteration 6,Turn 1,56.06482999999935
Iteration 6,Turn 2,49.15751109999837
Iteration 6,Turn 3,44.14831170000252
Iteration 6,Turn 4,44.278351900000416
Iteration 7,Turn 0,66.00413889999982
Iteration 7,Turn 1,77.9996656000003
Iteration 7,Turn 2,53.974523599998065
Iteration 7,Turn 3,53.4123096000003
Iteration 7,Turn 4,74.34297660000084
Iteration 8,Turn 0,57.321878099999594
Iteration 8,Turn 1,58.09775059999811
Iteration 8,Turn 2,43.26205420000042
Iteration 8,Turn 3,43.23036249999859
Iteration 8,Turn 4,66.6747679
Iteration 9,Turn 0,58.09082710000075
Iteration 9,Turn 1,49.24219959999755
Iteration 9,Turn 2,50.47994370000015
Iteration 9,Turn 3,48.94318890000068
Iteration 9,Turn 4,53.657126699999935
Iteration 10,Turn 0,64.75262020000082
Iteration 10,Turn 1,84.51165249999758
Iteration 10,Turn 2,52.34930170000007
Iteration 10,Turn 3,46.51360950000162
Iteration 10,Turn 4,50.99369210000077
Iteration 11,Turn 0,66.34068579999803
Iteration 11,Turn 1,77.9458607000015
Iteration 11,Turn 2,52.20450499999788
Iteration 11,Turn 3,54.30555839999943
Iteration 11,Turn 4,70.72170449999976
Iteration 12,Turn 0,49.86169760000121
Iteration 12,Turn 1,74.47574969999914
Iteration 12,Turn 2,44.86546839999937
Iteration 12,Turn 3,48.5566708999977
Iteration 12,Turn 4,51.75299489999816
Iteration 13,Turn 0,53.35048109999843
Iteration 13,Turn 1,49.49226140000246
Iteration 13,Turn 2,55.67934830000013
Iteration 13,Turn 3,53.94746219999797
Iteration 13,Turn 4,68.96387540000069
Iteration 14,Turn 0,46.095578399999795
Iteration 14,Turn 1,55.87526760000037
Iteration 14,Turn 2,47.82207099999869
Iteration 14,Turn 3,46.9459577000016
Iteration 14,Turn 4,60.60453069999858
Iteration 15,Turn 0,49.083228899999085
Iteration 15,Turn 1,72.8721011000016
Iteration 15,Turn 2,70.31182750000153
Iteration 15,Turn 3,47.79875229999743
Iteration 15,Turn 4,55.629591199998686
Iteration 16,Turn 0,59.42485719999968
Iteration 16,Turn 1,69.06498210000063
Iteration 16,Turn 2,56.19084780000048
Iteration 16,Turn 3,51.2731074000003
Iteration 16,Turn 4,64.27470929999981
Iteration 17,Turn 0,61.46549269999741
Iteration 17,Turn 1,74.7935593000002
Iteration 17,Turn 2,48.38692400000218
Iteration 17,Turn 3,49.47854360000201
Iteration 17,Turn 4,67.20756549999714
Iteration 18,Turn 0,41.324446300001
Iteration 18,Turn 1,51.18724750000183
Iteration 18,Turn 2,50.89847640000153
Iteration 18,Turn 3,51.05300630000056
Iteration 18,Turn 4,53.28779890000078
Iteration 19,Turn 0,43.017259500000364
Iteration 19,Turn 1,76.66456950000065
Iteration 19,Turn 2,51.59317210000154
Iteration 19,Turn 3,48.11508660000254
Iteration 19,Turn 4,56.68742750000092
Iteration 20,Turn 0,60.27555569999822
Iteration 20,Turn 1,47.111107799999445
Iteration 20,Turn 2,47.15036189999955
Iteration 20,Turn 3,56.07390959999975
Iteration 20,Turn 4,74.82452860000194
Iteration 21,Turn 0,58.59895179999876
Iteration 21,Turn 1,75.43479409999782
Iteration 21,Turn 2,54.98796619999848
Iteration 21,Turn 3,46.43098150000151
Iteration 21,Turn 4,63.551355100000364
Iteration 22,Turn 0,75.52940899999885
Iteration 22,Turn 1,78.90085909999834
Iteration 22,Turn 2,51.140026700002636
Iteration 22,Turn 3,55.195830300002854
Iteration 22,Turn 4,57.153737399999955
Iteration 23,Turn 0,52.33822940000027
Iteration 23,Turn 1,69.18986829999994
Iteration 23,Turn 2,51.82622210000045
Iteration 23,Turn 3,48.00938939999833
Iteration 23,Turn 4,60.958733600000414
Iteration 24,Turn 0,54.63845880000008
Iteration 24,Turn 1,60.725795799997286
Iteration 24,Turn 2,50.818267200000264
Iteration 24,Turn 3,41.16370139999708
Iteration 24,Turn 4,68.86558560000049
Iteration 25,Turn 0,70.31935309999972
Iteration 25,Turn 1,65.44290059999912
Iteration 25,Turn 2,51.51074580000204
Iteration 25,Turn 3,46.21389030000137
Iteration 25,Turn 4,64.97314470000128
